Country,Jurisdiction,"Policy Category","Name of policy",Sector,"Energy Type",Stage,Mechanism,"Legislation and Endorsing Agency",Objectives,"Date of announcement","Date of entry info force",Currency,"Value committed","Value committed, USD","Value disbursed","Value disbursed, USD",Background,"Links to sources","Archived Links to sources"
Argentina,national,"clean unconditional","Green productive development plan &#8211; National Renewable Cluster","Power generation","multiple renewable","several energy stages","budget or off-budget transfer (DT)","Ministry of Productive Development","Creation of a productive conglomerate of equipment, services and technology in renewable services and technology for renewable energy electricity generation, that guarantees the participation of national actors in renewable energy electricity generation projects, essential for the energy transition. This cluster is initiated with active participation of the provinces and based on wind, solar and small hydroelectric generation.",21/07/2021,,ARS,1250000000,17720694,0,0,"Productive development minister Matías Kulfas launched a US$100mn four-pillars green productive development plan to promote sustainable industrialization of natural resources, circular economy transition, sustainable production and the green economy","https://www.argentina.gob.ar/sites/default/files/plan_desarrollo_productivo_verde.pdf
, https://www.argentina.gob.ar/sites/default/files/plan_desarrollo_productivo_verde.pdf",
Argentina,,"clean conditional","Green productive development plan &#8211; Agreement with the industry for the local manufacture of electric bicycles.",Mobility,"multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","Ministry of Productive Development","Agreement reached with the chambers ADIMRA, CADIEEL, CIMBRA, to promote local integration in the production of electric bicycles. This agreement involves the implementation by the Ministry of Productive Development of supply support tools, technical assistance and financing through the Suppliers Program. It also includes demand financing through a line of credit from Banco Nación.

",21/06/2021,,ARS,3000000000,42529665,0,0,"Productive development minister Matías Kulfas launched a US$100mn four-pillars green productive development plan to promote sustainable industrialization of natural resources, circular economy transition, sustainable production and the green economy","https://www.argentina.gob.ar/noticias/inversion-de-10000-millones-del-gobierno-nacional-en-tecnologias-limpias
, https://www.argentina.gob.ar/sites/default/files/plan_desarrollo_productivo_verde.pdf",
Argentina,national,"clean unconditional","Green productive development plan &#8211; Development Program Solar Thermal Industry","Power generation",solar,"exploration or production or processing or storage or transportation","budget or off-budget transfer (DT)","Ministry of Productive Development","Promote domestic production of solar water heaters through technical assistance, financing, and product certification. 
Promote the demand for domestic solar water heaters by including them in the bidding documents for urban development and social housing, both by the national government and the provinces. ",21/06/2021,,ARS,115000000,1630304,0,0,"Productive development minister Matías Kulfas launched a US$100mn four-pillars green productive development plan to promote sustainable industrialization of natural resources, circular economy transition, sustainable production and the green economy.","https://www.argentina.gob.ar/noticias/inversion-de-10000-millones-del-gobierno-nacional-en-tecnologias-limpias
, https://www.argentina.gob.ar/sites/default/files/plan_desarrollo_productivo_verde.pdf",
Russia,National,"fossil unconditional","Reduction Coefficient of the Extraction Tax for Unconventional Natural Gas Reserves (e.g. Berezovskaya formation)",Resources,"gas and gas products","exploration or production or processing or storage or transportation","tax or royalty or govt fee break (GRF)","Government of Russia",,13/05/2021,02/07/2021,RUB,0,0,0,0,"This measure is aimed to facilitate extraction from hard-to-reach gas reserves that would not be profitable without tax relief
",https://sozd.duma.gov.ru/bill/1170972-7,
Japan,National,"clean unconditional","Subsidy for the Purchase of Renewable Energy Procurement Market Price Fluctuation Insurance","Power generation","multiple renewable","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","Ministry of Economy, Trade and Industry","Promote renewable energy procurement through market price fluctuation insurance",21/12/2021,21/12/2021,JPY,399824000,3744547,0,0,"If a small-scale electric utility that meets certain requirements, such as a retail electric utility funded by a municipality or a retail electric utility engaged in local production for local consumption, purchases private insurance to cover market fluctuation price risk when it procures renewable electricity (specified supply of renewable electricity), a portion of the insurance premiums will be subsidized.",https://www.meti.go.jp/main/yosan/yosan_fy2021/hosei/pdf/hosei_yosan_pr.pdf,
Japan,National,"clean conditional","Project to promote decarbonized car sharing and disaster prevention centers through simultaneous introduction of renewable energy and electric vehicles",Mobility,"multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","Ministry of the Environment","Promote combination of renewable generation facilities and electric vehicles ",21/12/2021,21/12/2021,JPY,1000000000,9365489,0,0,"Local governments and private businesses and organizations will be supported to purchase renewable energy generation facilities and electric vehicles at the same time and share them with local residents. In addition, the program also supports the introduction of recharging and discharging equipment and external power feeders to help local governments and private companies turn their facilities into disaster centers and contribute to strengthening local resilience.",https://www.env.go.jp/guide/budget/r03/r03-hos-gaiyo/001.pdf,
Japan,National,"clean unconditional","Project to support the realization of sustainable and resilient communities through the introduction of renewable energy","Power generation","multiple renewable","electricity storage or transmission or distribution","budget or off-budget transfer (DT)","Ministry of the Environment","Support local government to formulate regional renewable energy strategies and to build regional renewable energy systems",21/12/2021,21/12/2021,JPY,1650000000,15453056,0,0,"""Support for local governments, etc. to formulate strategies for setting targets and building consensus for the introduction of regional renewable energy, build a system for implementation and operation of regional renewable energy projects conducted through public-private partnerships, and implement regional decarbonization.
(1) Support for the formulation of strategies to promote the introduction of regional renewable energy in a planned and phased manner
(2) Support for the establishment of a framework for the implementation and operation of local renewable energy projects conducted through public-private partnerships
(3) Support for promoting the use of third-party ownership models for the installation of solar power generation equipment, etc.""",https://www.env.go.jp/guide/budget/r03/r03-hos-gaiyo/001.pdf,
Japan,National,"clean unconditional","Subsidy for promotion of renewable energy in symbiosis with local communities","Power generation","multiple renewable","electricity storage or transmission or distribution","budget or off-budget transfer (DT)","Ministry of Economy, Trade and Industry","Promote regional micro-grid to increase decentralised  renewable energy facilities",21/06/2021,21/06/2021,JPY,2946587000,27596226,0,0,"Partial support for private companies, etc. that intend to build a ""regional micro-grid"" that can supply power independently in the event of a large-scale power outage due to a disaster, etc., by utilizing renewable energy in the region and monitoring the tidal current of the lower grid under normal circumstances.",https://www.meti.go.jp/main/yosan/yosan_fy2021/hosei/pdf/hosei_yosan_pr.pdf,
Japan,National,"clean unconditional","Promotion of Self-Sustained and Decentralized Energy Facilities at Evacuation Facilities for Simultaneous Realization of Regional Resilience and Decarbonization",Buildings,"multiple renewable","several energy stages","budget or off-budget transfer (DT)","Ministry of the Environment","Promotion of self-sustainaed and decentralized energy facilities for improving resilience and decarbonization",21/12/2021,21/12/2021,JPY,7000000000,65558418,0,0,"Support the introduction of renewable energy facilities and CO2-saving facilities to public facilities, to strengthen the resilience of local communities and to enable the functioning of energy supply, etc. in times of disaster, in addition to decarbonization in normal times. The subsidy covers part of the cost of introducing renewable energy facilities, facilities to utilize unused energy, cogeneration systems (CGS) and their ancillary facilities (energy storage, charging/discharging facilities/charging equipment, self-supply lines, heat pipes, etc.), and CO2-saving facilities (including high-performance ventilation facilities and energy-saving septic tanks), etc., which contribute to disaster prevention and disaster mitigation.",https://www.env.go.jp/guide/budget/r03/r03-hos-gaiyo/002.pdf,
Japan,National,"clean unconditional","Introduction and development of advanced production technology to secure the domestic production base for storage batteries","Power generation","multiple renewable","exploration or production or processing or storage or transportation","budget or off-budget transfer (DT)","Ministry of Economy, Trade and Industry","Promotion of domestic batteries production",21/12/2021,21/12/2021,JPY,12999813000,121749595,0,0,"For businesses that introduce advanced production and recycling technologies for storage batteries and materials on a large scale in Japan, the program provides partial support for the investment in buildings and equipment necessary for this purpose, as well as for research and development costs related to such production and recycling technologies.",https://www.meti.go.jp/main/yosan/yosan_fy2021/hosei/pdf/hosei_yosan_pr.pdf,
